id,Name,Status,Species,Type,Gender,Origin,Location,Image,No_of_episode
84,Cult Leader Morty,Alive,Human,,Male,unknown,Hideout Planet,https://rickandmortyapi.com/api/character/avatar/84.jpeg,1
85,Cyclops Morty,Alive,Humanoid,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/85.jpeg,2
86,Cyclops Rick,Dead,Humanoid,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/86.jpeg,3
87,Cynthia,Dead,Alien,Zigerion,Female,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/87.jpeg,1
88,Cynthia,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/88.jpeg,4
89,Dale,Dead,Mythological Creature,Giant,Male,Giant's Town,Giant's Town,https://rickandmortyapi.com/api/character/avatar/89.jpeg,1
90,Daron Jefferson,Alive,Alien,Cone-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/90.jpeg,1
91,David Letterman,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/91.jpeg,1
92,Davin,Dead,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/92.jpeg,2
93,Diablo Verde,Dead,Mythological Creature,Demon,Male,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/93.jpeg,1
94,Diane Sanchez,Dead,Human,,Female,Earth (C-137),Rick's Memories,https://rickandmortyapi.com/api/character/avatar/94.jpeg,2
95,Dipper and Mabel Mortys,unknown,Human,,unknown,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/95.jpeg,1
96,Tuberculosis,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/96.jpeg,1
97,Gonorrhea,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/97.jpeg,1
98,Hepatitis A,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/98.jpeg,1
99,Hepatitis C,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/99.jpeg,1
100,Bubonic Plague,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/100.jpeg,1
101,E. Coli,Dead,Disease,,unknown,Anatomy Park,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/101.jpeg,1
102,Donna Gueterman,Dead,Robot,,Female,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/102.jpeg,1
103,Doofus Rick,unknown,Human,,Male,Earth (J19ζ7),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/103.jpeg,2
104,Doom-Nomitron,Dead,Alien,Shapeshifter,unknown,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/104.jpeg,1
105,Dr. Glip-Glop,Dead,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/105.jpeg,1
106,Dr. Schmidt,unknown,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/106.jpeg,1
107,Dr. Wong,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/107.jpeg,2
108,Dr. Xenon Bloom,Dead,Humanoid,Amoeba-Person,Male,unknown,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/108.jpeg,1
109,Duck With Muscles,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/109.jpeg,1
110,Eli,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/110.jpeg,1
111,Eli's Girlfriend,Alive,Human,,Female,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/111.jpeg,1
112,Eric McMan,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/112.jpeg,1
113,Eric Stoltz Mask Morty,unknown,Human,,Male,Eric Stoltz Mask Earth,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/113.jpeg,1
114,Ethan,unknown,Human,Cronenberg,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/114.jpeg,1
115,Ethan,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/115.jpeg,2
116,Evil Beth Clone,Dead,Human,Clone,Female,unknown,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/116.jpeg,1
117,Evil Jerry Clone,Dead,Human,Clone,Male,unknown,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/117.jpeg,1
118,Evil Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/118.jpeg,3
119,Evil Rick,Dead,Humanoid,Robot,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/119.jpeg,1
120,Evil Summer Clone,Dead,Human,Clone,Female,unknown,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/120.jpeg,1
121,Eyehole Man,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/121.jpeg,1
122,Fart,Dead,Alien,Interdimensional gaseous being,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/122.jpeg,1
123,Fat Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/123.jpeg,1
124,Father Bob,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/124.jpeg,2
125,Flansian,Alive,Alien,Flansian,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/125.jpeg,3
126,Fleeb,unknown,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/126.jpeg,1
127,Frank Palicky,Dead,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/127.jpeg,1
128,Frankenstein's Monster,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/128.jpeg,1
129,Fulgora,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/129.jpeg,3
130,Galactic Federation President,Dead,Alien,Gromflomite,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/130.jpeg,1
131,Gar Gloonch,Dead,Alien,Zombodian,Male,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/131.jpeg,3
132,Gar's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/132.jpeg,1
133,Garblovian,Alive,Alien,Garblovian,Male,Glaagablaaga,unknown,https://rickandmortyapi.com/api/character/avatar/133.jpeg,3
134,Garmanarnar,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/134.jpeg,1
135,Garment District Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/135.jpeg,1
136,Gazorpazorpfield,Alive,Alien,Gazorpian,Male,Gazorpazorp,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/136.jpeg,2
137,Gene,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/137.jpeg,2
138,General Nathan,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/138.jpeg,1
139,General Store Owner,Dead,Alien,Cat-Person,Male,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/139.jpeg,1
140,Genital Washer,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/140.jpeg,1
141,Ghost in a Jar,Dead,Alien,Parasite,Genderless,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/141.jpeg,1
142,Gibble Snake,Dead,Alien,Animal,unknown,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/142.jpeg,1
143,Glasses Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/143.jpeg,1
144,Glenn,Dead,Alien,Gromflomite,Male,unknown,Interdimensional Customs,https://rickandmortyapi.com/api/character/avatar/144.jpeg,1
145,Glenn,Alive,Human,Eat shiter-Person,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/145.jpeg,1
146,Glexo Slim Slom,Alive,Alien,,Male,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/146.jpeg,1
147,Gobo,Dead,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/147.jpeg,1
148,Goddess Beth,unknown,Mythological Creature,Goddess,Female,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/148.jpeg,1
149,Gordon Lunas,Dead,Human,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/149.jpeg,1
150,Cornvelious Daniel,Dead,Alien,Gromflomite,Male,unknown,Galactic Federation Prison,https://rickandmortyapi.com/api/character/avatar/150.jpeg,1
151,Gwendolyn,unknown,Robot,Gazorpian reproduction robot,Female,Gazorpazorp,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/151.jpeg,1
152,Hammerhead Morty,unknown,Humanoid,Hammerhead-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/152.jpeg,2
153,Hamster In Butt,Alive,Animal,,unknown,Hamster in Butt World,Hamster in Butt World,https://rickandmortyapi.com/api/character/avatar/153.jpeg,2
154,Hamurai,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/154.jpeg,1
155,Harold,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/155.jpeg,1
156,Hemorrhage,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/156.jpeg,1
157,Hole in the Wall Where the Men Can See it All,unknown,unknown,Hole,Genderless,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/157.jpeg,1
158,Hookah Alien,Alive,Alien,Tuskfish,unknown,unknown,Interdimensional Customs,https://rickandmortyapi.com/api/character/avatar/158.jpeg,1
159,Hunter,Dead,Human,Clone,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),https://rickandmortyapi.com/api/character/avatar/159.jpeg,1
160,Hunter's Father,Alive,Human,,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),https://rickandmortyapi.com/api/character/avatar/160.jpeg,1
161,Hydrogen-F,Alive,Alien,Alphabetrian,Female,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/161.jpeg,1
162,Ice-T,Alive,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/162.jpeg,1
163,Ideal Jerry,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/163.jpeg,1
164,Insurance Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/164.jpeg,1
165,Investigator Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/165.jpeg,1
166,Invisi-trooper,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/166.jpeg,1
167,Izzy,Alive,Animal,Cat,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/167.jpeg,1
168,Jackie,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/168.jpeg,1
169,Jacob,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/169.jpeg,2
170,Jacqueline,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/170.jpeg,1
171,Jaguar,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/171.jpeg,1
172,Jamey,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/172.jpeg,1
173,Jan-Michael Vincent,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/173.jpeg,1
174,Jerry 5-126,Alive,Human,,Male,Earth (5-126),Jerryboree,https://rickandmortyapi.com/api/character/avatar/174.jpeg,1
175,Jerry Smith,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/175.jpeg,7
176,Celebrity Jerry,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/176.jpeg,1
177,Jerry Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/177.jpeg,1
178,Jerry's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/178.jpeg,1
179,Jessica,Alive,Cronenberg,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/179.jpeg,3
180,Jessica,Alive,Human,Time God,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/180.jpeg,12
181,Jessica's Friend,Alive,Human,,Female,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/181.jpeg,8
182,Jim,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/182.jpeg,1
183,Johnny Depp,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/183.jpeg,1
184,Jon,Alive,Alien,Gazorpian,Male,Gazorpazorp,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/184.jpeg,1
185,Joseph Eli Lipkip,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/185.jpeg,1
186,Joyce Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/186.jpeg,1
187,Juggling Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/187.jpeg,1
188,Karen Entity,Alive,Alien,Unknown-nippled alien,Female,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/188.jpeg,1
189,Katarina,Dead,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/189.jpeg,1
190,Keara,Alive,Alien,Krootabulan,Female,Krootabulon,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/190.jpeg,1
191,Kevin,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/191.jpeg,1
192,King Flippy Nips,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/192.jpeg,1
193,King Jellybean,Dead,Mythological Creature,Jellybean,Male,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/193.jpeg,1
194,Kozbian,Alive,Alien,Tentacle alien,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/194.jpeg,1
